gene,log2FC,t,pval,FDR,cohen_d
MT-TF,-0.44356148985353894,-1.1297823965903762,0.2698725632162942,,-0.2721357879340799
MT-RNR1,-0.28469578714820365,-1.291979217531575,0.20703369149170253,,-0.26601776210869077
MT-TV,0.017796427323262254,0.040059981660679166,0.9684014663552256,,0.010449431739378736
MT-RNR2,0.19437110341274888,1.0605688244505507,0.29911416705982924,,0.24279997338071493
MT-TL1,0.2703110361377572,0.544142954105661,0.591924088933911,,0.1496451519751471
MT-ND1,-0.05844436922541707,-0.2404990783531425,0.8119490353334431,,-0.055889311411245556
MT-TI,-0.34088554874211985,-1.5645800257422815,0.1287743422024271,,-0.31619913412444317
MT-TQ,-0.590953866468729,-2.8023424428029133,0.007832460978104177,,-0.46309313012410724
MT-TM,-0.06723954391939291,-0.13362093563151467,0.8949754746539116,,-0.038537420411838046
MT-ND2,-0.011175851260893488,-0.040926120143374885,0.9677007066339274,,-0.009968483348574543
MT-TW,0.2259162172053012,0.8620010192481987,0.39879449506957143,,0.2675123631488598
MT-TA,-0.23211593421475696,-0.565674687421581,0.576981275260013,,-0.13783437534836487
MT-TN,0.15103302124636198,0.43660274898821455,0.6659041669749903,,0.09272472546859553
MT-TC,-0.19152563492903685,-0.39731750941868665,0.6951897292794085,,-0.11696577189462154
MT-TY,-0.0451442938405302,-0.11869030741495737,0.9064795173637472,,-0.02722957008425985
MT-CO1,0.016071929594601464,0.06786052540221739,0.9464634480191139,,0.016260378934125214
MT-TS1,0.02653413769663926,0.06398358730937552,0.9495526535944528,,0.01668126619573007
MT-TD,-0.2213335408604833,-0.8130833814209709,0.42422087078666604,,-0.1946106225462273
MT-CO2,-0.045381961972011275,-0.1920865333370751,0.8491986610129519,,-0.0427628590069059
MT-TK,0.1193205891667859,0.3502827257732952,0.7294386224625525,,0.09253884494224374
MT-ATP8,0.06388252843198217,0.19421314513033794,0.847779401152535,,0.05124830898445127
MT-ATP6,0.07099697168010621,0.24778949969118938,0.8064734293724927,,0.06116553924814648
MT-CO3,-0.06829928194492307,-0.32902849053394434,0.7447216445011394,,-0.07049437602244478
MT-TG,-0.11817057689708782,-0.511390525077697,0.6135631876432059,,-0.11592856830052667
MT-ND3,0.3411878964731603,1.3727056336273897,0.184026956698396,,0.38101883046087104
MT-TR,0.0969275591525477,0.3491705667880647,0.7301873831518773,,0.08923679172135622
MT-ND4L,0.21113112695675262,0.7498119732108816,0.4604728981233619,,0.172851156636947
MT-ND4,0.22105920625773656,0.8006395260225548,0.4317847528600809,,0.20900821153946283
MT-TH,-0.424962547055612,-1.0527638847327354,0.30353324004552706,,-0.26834111838335306
MT-TS2,0.005259748353577232,0.01492440650555174,0.9882170296879831,,0.003581629209470751
MT-TL2,-0.42934375314718043,-1.2753914231506136,0.21374338261919854,,-0.2853147940186214
MT-ND5,0.195400358679219,0.7399042819648178,0.4669295069035083,,0.18802072275749457
MT-ND6,0.1565349655665642,0.6213756972180614,0.5403658723606226,,0.15227316772442784
MT-TE,0.24423939452602283,0.7968256236257972,0.43220728479811654,,0.16169566497580948
MT-CYB,0.18049840227408875,0.7036771428116952,0.488374477314772,,0.16609599159678642
MT-TT,-0.11448750836183652,-0.380276350962994,0.7074739217242081,,-0.10526984477471747
MT-TP,-0.11864304717268692,-0.2772808252642969,0.7841003534607591,,-0.07167377289723713
LINC02109,0.0,,,,
SNTG2,-0.23568077728706013,-2.6303483124398954,0.010168734602454594,,-0.33594765639986235
INTS3,-0.04343799528365544,-0.3186777463076879,0.7529980917759296,,-0.08588872674514454
KIR3DL2,-0.008849557522123894,-1.0,0.31946613116109157,,-0.1009593677264867
PCMTD2,-0.7772505730709227,-3.2520145459844394,0.003911102615535546,,-0.9868636757165657
KIR3DL3,0.0,,,,
KIR3DL1,0.0,,,,
SBNO2,-0.5438601025645058,-3.106793232643043,0.004524916995708897,,-0.6754610113822038
KIR2DL3,0.0,,,,
PTCHD3,-0.017699115044247787,-1.4205696104091547,0.1582198899558699,,-0.1434198096783703
LILRP2,0.0,,,,
KIR3DP1,0.0,,,,
KIR2DL4,0.0,,,,
KIR2DS2,0.0,,,,
LILRP1,0.0,,,,
OPRL1,0.02727171828270364,0.22236545244386827,0.8260415848753496,,0.05759116112031861
