gene,log2FC,t,pval,FDR,cohen_d
MT-TF,0.2858959162497001,0.9398328664648163,0.3506265601491939,,0.17352510319835157
MT-RNR1,0.05752476431910658,0.2742576384623911,0.7847440405852524,,0.05155021681070061
MT-TV,-0.21213200949470146,-0.6636970249003812,0.5091768345437053,,-0.12408929409930727
MT-RNR2,-0.2969748513869135,-1.8003713120761493,0.07668745994772955,,-0.35198643228848453
MT-TL1,-0.4198943409725029,-1.161199224260514,0.2500464318329528,,-0.22751818054368672
MT-ND1,-0.17221295859387187,-0.8211636764265889,0.4146357567069834,,-0.158119917431243
MT-TI,0.3760073714914941,2.3514134299248264,0.02066481836853228,,0.3635292830821944
MT-TQ,0.2634159590761542,1.2199711931714177,0.2259650895597316,,0.20503142419154968
MT-TM,0.17393451990191977,0.5156303304176094,0.6079179222309292,,0.09957548310933848
MT-ND2,-0.18189535586507066,-0.81147208766443,0.42014931857544413,,-0.1566624865604937
MT-TW,-0.08124283362885126,-0.512025161459678,0.6104081948819029,,-0.09834412340043064
MT-TA,0.06391292305246354,0.20462221788994836,0.8384747883969695,,0.037673586370948635
MT-TN,-0.3730295791890432,-1.3895683378612498,0.1683944520648873,,-0.23300488042736925
MT-TC,-0.02571271990207169,-0.08192085108226058,0.9349685459806324,,-0.015787107422091776
MT-TY,-0.22173176002706008,-0.8183874216502331,0.41549684604241643,,-0.13738670790146373
MT-CO1,-0.19906154694571931,-0.9885203101032239,0.3267396451005361,,-0.19273904401092623
MT-TS1,-0.1303220190004124,-0.46401171691036336,0.6440463665808359,,-0.08336383319929967
MT-TD,0.34875012862163274,1.9743015543184006,0.051463832271391,,0.32101300665990595
MT-CO2,-0.11430599969678035,-0.5630541253798597,0.5752764486197304,,-0.1048452913845125
MT-TK,-0.03125982031591068,-0.13349198096909254,0.8941931605671383,,-0.024474270620479476
MT-ATP8,-0.27378784758984764,-1.1546437611892073,0.2524379093686709,,-0.21805278356806548
MT-ATP6,-0.2450489500877202,-1.1007621992966787,0.27501756134428096,,-0.20735150959972332
MT-CO3,-0.14485192386666856,-0.7534562352875839,0.45390788910497093,,-0.14315216450941237
MT-TG,-0.14493015090920403,-0.7762516307100138,0.44020063061460546,,-0.14073901707368838
MT-ND3,-0.35029663345582396,-1.9048013507541703,0.061605756821622,,-0.3794176383270414
MT-TR,-0.0843668601182026,-0.4023669478697002,0.6887383329736015,,-0.07639903295831946
MT-ND4L,-0.27131862365154547,-1.133269434979718,0.2612700716388866,,-0.21496838385647254
MT-ND4,-0.29866914478235085,-1.4477798784679703,0.1525733897257301,,-0.27736824027210355
MT-TH,0.18655566239905785,0.6127097188414498,0.5422024339060287,,0.11600704693548618
MT-TS2,0.038418322085602474,0.14617931835471323,0.8841899009459313,,0.026245237018991598
MT-TL2,-0.12586668688586222,-0.4818784485225056,0.6312814890483154,,-0.08416191713242273
MT-ND5,-0.2950104017721884,-1.4659931390372858,0.14749707786445665,,-0.27871137143088787
MT-ND6,-0.2596681067927973,-1.3558338771458147,0.17963873108659525,,-0.2505020697125504
MT-TE,-0.3670962561093196,-1.388794758605229,0.16894388494131563,,-0.24195045045090094
MT-CYB,-0.29512441623071073,-1.4302187329472689,0.15730378856830013,,-0.2664791429011012
MT-TT,0.1859576223088063,0.9421781156082895,0.3494266788155358,,0.17376320527474987
MT-TP,0.059136397929580475,0.1863196670258748,0.8527732974908213,,0.03527422229039566
LINC02109,0.0,,,,
SNTG2,0.1162363328426157,1.1666985825852916,0.24574090187647307,,0.17033111059503112
