gene,log2FC,t,pval,FDR,cohen_d
MT-TF,0.06667711381736607,0.11865532435984855,0.9073805161375176,,0.04002255499525183
MT-RNR1,-0.00841183652400801,-0.019948390033217057,0.9844004999390623,,-0.007416349455420402
MT-TV,0.3801153100556425,0.6527310002244137,0.525439592555046,,0.2212761826789359
MT-RNR2,0.3216826770627872,0.9665693032281976,0.35244021762057054,,0.3802374866946083
MT-TL1,1.0889684056874414,1.716053026151651,0.11043332937327725,,0.6012966360070585
MT-ND1,0.4514444463802514,1.0799006737124401,0.30080020508162636,,0.4118390252951934
MT-TI,-0.35877044290252885,-1.4470684427639153,0.16692910654105025,,-0.3299515624236097
MT-TQ,0.08842494966993097,0.1920725695807132,0.8506875278946388,,0.06506068322063525
MT-TM,-0.09870986949006966,-0.18201592931967983,0.8583401957508223,,-0.05781960747278879
MT-ND2,0.4487836051351488,1.0332592043038766,0.3211544524998655,,0.38609171350536836
MT-TW,0.023479762217816502,0.09899699544162754,0.9225819966031131,,0.029222115998400366
MT-TA,0.31068806745273037,0.7043968827432209,0.4923234912149027,,0.18566631108337728
MT-TN,0.599637401235511,1.2903622821005,0.2178174733018613,,0.3614918976227109
MT-TC,0.34695812546564664,0.6968931628618733,0.49790257057022824,,0.21806923997658462
MT-TY,0.3114298595997633,0.7074967790435012,0.4904810325143717,,0.18724382612369517
MT-CO1,0.521191110304188,1.3213398174418984,0.21033272780211754,,0.5051536010952328
MT-TS1,0.27612918977973866,0.6015267980794508,0.5572985481636611,,0.1752270439595436
MT-TD,-0.2709032867119064,-0.9179512688641472,0.3735255713247937,,-0.23923998482702064
MT-CO2,0.3555044215814709,0.8869002304571478,0.3917907698779872,,0.320621262173877
MT-TK,0.2387355007559997,0.5839025649277819,0.569148148931065,,0.18557964562366375
MT-ATP8,0.4919500306951239,1.1947687311717416,0.25354562917109735,,0.39367610802201963
MT-ATP6,0.5248447148135931,1.2691017374592959,0.2271325295875903,,0.4420983553157307
MT-CO3,0.39747382405157516,1.0818578717990408,0.29963495112064326,,0.39078896440834104
MT-TG,0.3851012947169993,1.1579496869898929,0.2674673939699239,,0.3690163905717772
MT-ND3,0.4928583032796494,1.3565224979902155,0.19944141988462574,,0.5381938665220646
MT-TR,0.1745526253675127,0.4236688149752637,0.6790180454958121,,0.15659265210904266
MT-ND4L,0.47152204882846593,1.0237884759532776,0.32525688730270674,,0.3711037943662346
MT-ND4,0.5856905464499214,1.4722888572708894,0.16568098955408309,,0.5421098189885503
MT-TH,-0.03256288580161071,-0.05656749864391961,0.9557750464667251,,-0.020148484725188476
MT-TS2,0.25780036982622234,0.5259665975326634,0.6077588027329941,,0.17232188233917325
MT-TL2,0.48251509801244774,1.1748762310062415,0.2592465888091923,,0.3179208759538833
MT-ND5,0.4881246048262291,1.2380237345618466,0.2384874219532674,,0.45725871335077717
MT-ND6,0.44303581256432967,1.1269048618579443,0.2809897622793045,,0.41683036032155224
MT-TE,0.14888071563526228,0.28438828771686686,0.7806115802602323,,0.09446936022381354
MT-CYB,0.3602424504659023,0.91745236649175,0.37600550657858767,,0.321508720934884
MT-TT,-0.12356323790045282,-0.3517705892845659,0.7306293532676708,,-0.1146412179209723
MT-TP,-0.24647726167656359,-0.45232137534025835,0.6584829928355171,,-0.14806689278852656
LINC02109,0.0,,,,
SNTG2,-0.041236332842615686,-0.27809556895473636,0.7840817436126576,,-0.056815278451977265
INTS3,0.0647006952975211,0.46952023899722956,0.6458929217676784,,0.13057076473441867
KIR3DL2,-0.008849557522123894,-1.0,0.31946613116109157,,-0.09858352039284637
PCMTD2,-0.7997944756047506,-1.976093385992546,0.07217781442455869,,-0.9618536803040155
KIR3DL3,0.0,,,,
KIR3DL1,0.0,,,,
SBNO2,-0.7959234428538853,-3.6187028801207504,0.002703316917865598,,-0.9766808351014236
KIR2DL3,0.0,,,,
PTCHD3,-0.017699115044247787,-1.4205696104091547,0.1582198899558699,,-0.14004475315722922
LILRP2,0.0,,,,
KIR3DP1,0.0,,,,
KIR2DL4,0.0,,,,
KIR2DS2,0.0,,,,
LILRP1,0.0,,,,
